# ExoColumn outer-HZ max-greenhouse column; Ts=273.00 K, ps=987503.1980 Pa, g=9.80616 m/s2
# k=1 is the top layer, k=200 the surface layer; vmr = mole fraction of moist air
k,p_layer_Pa,T_layer_K,p_level_top_Pa,p_level_bot_Pa,T_level_top_K,T_level_bot_K,z_level_top_m,z_level_bot_m,vmr_CO2,vmr_N2,vmr_H2O
72,7.21950205e+00,154.000000,6.88749301e+00,7.55151108e+00,154.000000,154.000000,41074.6375,40791.1190,8.986749354e-01,1.013250542e-01,1.045393898e-08
73,7.91552885e+00,154.000000,7.55151108e+00,8.27954663e+00,154.000000,154.000000,40791.1190,40507.6005,8.986749354e-01,1.013250542e-01,1.045393898e-08
74,8.67865909e+00,154.000000,8.27954663e+00,9.07777155e+00,154.000000,154.000000,40507.6005,40224.0820,8.986749354e-01,1.013250542e-01,1.045393898e-08
75,9.51536214e+00,154.000000,9.07777155e+00,9.95295273e+00,154.000000,154.000000,40224.0820,39940.5634,8.986749354e-01,1.013250542e-01,1.045393898e-08
76,1.04327311e+01,154.000000,9.95295273e+00,1.09125095e+01,154.000000,154.000000,39940.5634,39657.0449,8.986749354e-01,1.013250542e-01,1.045393898e-08
77,1.14385429e+01,154.000000,1.09125095e+01,1.19645764e+01,154.000000,154.000000,39657.0449,39373.5264,8.986749354e-01,1.013250542e-01,1.045393898e-08
78,1.25413243e+01,154.000000,1.19645764e+01,1.31180723e+01,154.000000,154.000000,39373.5264,39090.0079,8.986749354e-01,1.013250542e-01,1.045393898e-08
79,1.37504241e+01,154.000000,1.31180723e+01,1.43827758e+01,154.000000,154.000000,39090.0079,38806.4893,8.986749354e-01,1.013250542e-01,1.045393898e-08
80,1.50760922e+01,154.000000,1.43827758e+01,1.57694085e+01,154.000000,154.000000,38806.4893,38522.9708,8.986749354e-01,1.013250542e-01,1.045393898e-08
81,1.65295670e+01,154.000000,1.57694085e+01,1.72897254e+01,154.000000,154.000000,38522.9708,38239.4523,8.986749354e-01,1.013250542e-01,1.045393898e-08
82,1.81231702e+01,154.000000,1.72897254e+01,1.89566150e+01,154.000000,154.000000,38239.4523,37955.9338,8.986749354e-01,1.013250542e-01,1.045393898e-08
83,1.98704115e+01,154.000000,1.89566150e+01,2.07842081e+01,154.000000,154.000000,37955.9338,37672.4152,8.986749354e-01,1.013250542e-01,1.045393898e-08
